compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
AA,MYR,602,-38.0,893.0,12.31,0.015,1|2|3|4|5|6|7|8|9|10|11|12
AA,LEX,524,-40.0,1679.0,23.16,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
AA,MDT,523,-52.0,961.0,12.38,0.0153,1|2|3|4|5|6|7|8|9|10|11|12
AA,COS,523,-43.0,1217.0,17.16,0.0153,1|2|3|4|5|6|7|8|9|10|11|12
AA,JAC,520,-46.0,1774.0,50.94,0.0077,1|2|3|4|5|6|7|8|9|10|11|12
AA,SBA,510,-37.0,880.0,19.88,0.0137,1|2|3|4|5|6|7|8|9|10|11|12
AA,BZN,468,-39.0,1767.0,34.53,0.0043,1|2|3|4|5|6|7|8|9|10|11|12
AA,BFL,465,-35.0,569.0,6.27,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOI,457,-40.0,727.0,12.1,0.0219,1|2|3|4|5|6|7|8|9|10|11|12
AA,AVP,423,-38.0,746.0,13.53,0.0189,1|2|3|4|5|6|7|8|9|10|11|12
AA,SBP,409,-41.0,1206.0,22.98,0.0049,1|2|3|4|5|6|7|8|9|10|11|12
AA,ROC,405,-38.0,868.0,19.08,0.0148,1|2|3|4|5|6|7|8|9|10|11|12
AA,KOA,389,-67.0,1535.0,12.9,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,LIT,380,-29.0,1188.0,23.57,0.0237,1|2|3|4|5|6|7|8|9|10|11|12
AA,ECP,373,-30.0,2218.0,36.2,0.0241,1|2|3|4|5|6|7|8|9|10|11|12
AA,STX,372,-39.0,1676.0,28.71,0.0054,1|2|3|4|5|6|7|8|9|10|11|12
AA,LIH,372,-72.0,1189.0,-3.72,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,EUG,367,-38.0,1713.0,20.97,0.0245,1|2|3|4|5|6|7|8|9|10|11|12
AA,BTV,366,-39.0,411.0,7.48,0.0137,1|2|3|4|5|6|7|8|9|10|11|12
AA,CAE,363,-38.0,1892.0,32.23,0.022,1|2|3|4|5|6|7|8|9|10|11|12
AA,IAD,346,-49.0,2147.0,14.6,0.0087,1|2|3|4|5|6|7|8|9|10|11|12
AA,FSD,333,-46.0,522.0,11.88,0.012,1|2|3|4|5|6|7|8|9|10|11|12
AA,MRY,322,-40.0,1530.0,37.83,0.0248,1|2|3|4|5|6|7|8|9|10|11|12
AA,BGR,291,-37.0,1304.0,24.76,0.0172,6|7|8|9|10|11
AA,ICT,277,-32.0,1230.0,29.35,0.0217,1|2|3|4|5|6|7|8|9|10|11|12
AA,MTJ,245,-29.0,1396.0,14.79,0.0041,1|2|3|4|6|7|8|9|10|11|12
AA,AVL,243,-39.0,1417.0,45.67,0.0576,1|2|4|5|6|7|8|9|10|11|12
AA,ANC,232,-49.0,741.0,10.6,0.0,1|3|4|5|6|7|8|9|10|11|12
AA,BHM,203,-29.0,2354.0,38.73,0.0148,1|2|5|6|9|10|11|12
AA,LBB,194,-37.0,1787.0,31.68,0.0155,1|2|3|4|5|6|7|10|11|12
AA,FCA,183,-41.0,1672.0,34.22,0.0109,6|7|8|9|10|11
AA,DAB,171,-26.0,319.0,5.56,0.0117,1|2|3|4|5|6
AA,MSO,112,-38.0,926.0,16.09,0.0089,1|6|7|8|9|10|11|12
AA,AMA,99,-26.0,267.0,12.11,0.0303,1|2|10|12
AA,STS,96,-30.0,1354.0,47.38,0.0104,5|6|7|8|9|10|11
AA,HDN,78,-33.0,1561.0,63.71,0.0,1|2|3|4|12
AA,RDM,69,-31.0,1380.0,78.46,0.0145,5|6|7|8|9|10
AA,RAP,66,-31.0,1072.0,29.11,0.0303,6|7|8|9|10
AA,GUC,58,-36.0,350.0,24.66,0.0345,1|2|3|4|12
AA,TVC,51,-24.0,1139.0,70.22,0.0,6|7|8|9
AA,MHT,50,-28.0,1331.0,34.86,0.0,4|5|6
AA,AGS,11,-20.0,70.0,10.09,0.0,4
AA,HSV,6,-29.0,28.0,-5.0,0.0,11|12
AA,DRO,3,4.0,40.0,19.33,0.0,6|7
AS,SEA,38924,-70.0,540.0,5.98,0.0154,1|2|3|4|5|6|7|8|9|10|11|12
AS,PDX,8457,-59.0,423.0,3.84,0.0215,1|2|3|4|5|6|7|8|9|10|11|12
AS,ANC,7108,-65.0,499.0,0.9,0.0163,1|2|3|4|5|6|7|8|9|10|11|12
AS,SFO,5722,-65.0,850.0,6.85,0.0269,1|2|3|4|5|6|7|8|9|10|11|12
AS,SAN,5071,-54.0,899.0,7.14,0.0268,1|2|3|4|5|6|7|8|9|10|11|12
AS,LAX,4589,-56.0,558.0,1.34,0.019,1|2|3|4|5|6|7|8|9|10|11|12
AS,LAS,2680,-43.0,603.0,8.85,0.022,1|2|3|4|5|6|7|8|9|10|11|12
AS,PHX,2530,-56.0,513.0,4.39,0.0194,1|2|3|4|5|6|7|8|9|10|11|12
AS,JNU,2280,-46.0,780.0,1.17,0.018,1|2|3|4|5|6|7|8|9|10|11|12
AS,HNL,2240,-59.0,678.0,4.73,0.025,1|2|3|4|5|6|7|8|9|10|11|12
AS,SNA,2082,-43.0,682.0,1.24,0.0106,1|2|3|4|5|6|7|8|9|10|11|12
